Country Name,Series Name,ds,yhat,yhat_lower,yhat_upper
India,GDP (current US$),2000-01-01,460645215462.1376,393833275837.5422,529715877028.5906
India,GDP (current US$),2001-01-01,492669664760.6338,421839622137.7387,561315305101.5636
India,GDP (current US$),2002-01-01,521661276717.4894,449411360038.38495,588873101108.6768
India,GDP (current US$),2003-01-01,607394014997.2449,536812769504.1323,674326692438.3076
India,GDP (current US$),2004-01-01,688567924307.2405,619893357475.9011,757252434423.3687
India,GDP (current US$),2005-01-01,833282486218.5729,758835643281.7565,905164886299.9053
India,GDP (current US$),2006-01-01,955048115573.8762,883287394342.1964,1022718020900.5768
India,GDP (current US$),2007-01-01,1185864683249.6274,1115655266014.0645,1258039698673.1653
India,GDP (current US$),2008-01-01,1215332262216.2507,1138739186826.4302,1282692779319.9634
India,GDP (current US$),2009-01-01,1355889613920.0007,1289906078034.0256,1423778038797.0962
India,GDP (current US$),2010-01-01,1660682162103.7285,1586791246541.9512,1727741607605.8633
India,GDP (current US$),2011-01-01,1822949125127.0056,1757304842727.9224,1893189266715.9658
India,GDP (current US$),2012-01-01,1812086726643.0398,1744427700074.4622,1881378082568.8184
India,GDP (current US$),2013-01-01,1883943524915.256,1814116550248.3992,1955451217451.0408
India,GDP (current US$),2014-01-01,2012885726384.74,1941113343027.4521,2081379466815.0151
India,GDP (current US$),2015-01-01,2130845224614.612,2064138561973.5706,2198691976431.4812
India,GDP (current US$),2016-01-01,2281447737681.3594,2212599671698.6147,2356196101616.2534
India,GDP (current US$),2017-01-01,2635710098873.585,2561660686040.3716,2706448907714.4653
India,GDP (current US$),2018-01-01,2637756689389.047,2562239206546.223,2702951128582.905
India,GDP (current US$),2019-01-01,2758790655862.424,2689250866931.8184,2833626853002.427
India,GDP (current US$),2020-01-01,2870333331206.9766,2794793783337.9946,2940651174722.5815
India,GDP (current US$),2021-01-01,3237737004139.0244,3169496397755.981,3303879769781.1304
India,GDP (current US$),2022-01-01,3353765204914.594,3288516191164.169,3425730743934.572
India,GDP (current US$),2023-01-01,3460094407276.6846,3397612158621.6074,3531414519745.351
India,GDP (current US$),2023-12-31,3215876481287.775,3124134688816.9414,3308154566545.304
India,GDP (current US$),2024-12-31,3642458143546.179,3446085226520.9805,3856524454384.165
India,GDP (current US$),2025-12-31,3717947821923.776,3352357394127.7534,4102342710764.671
India,GDP (current US$),2026-12-31,3782650030772.749,3252534942740.9233,4365035171265.829
India,GDP (current US$),2027-12-31,3836349032577.7573,3066584235645.8594,4621837228153.648
India,GDP (current US$),2028-12-31,4312833515263.897,3182955360264.706,5468958935103.189
India,GDP (current US$),2029-12-31,4372137241174.665,2977014516048.3574,5807694236842.847
India,GDP (current US$),2030-12-31,4420198419388.305,2725468756772.268,6106515862341.506
India,GDP (current US$),2031-12-31,4456821583865.6045,2499223864349.188,6407952879555.532
India,GDP (current US$),2032-12-31,4983208886980.425,2450527316143.2236,7448221271222.278
